Date,BDI,BDI_lag_1,BDI_lag_2,BDI_lag_3,BDI_lag_7,BDI_lag_14,BDI_lag_30,Panamax_lag_1,Supramax_lag_1,Handysize_lag_1,BDI_mean_7,BDI_mean_20,BDI_mean_60,BDI_std_7,BDI_std_20,BDI_std_60,BDI_change_1,BDI_change_3,BDI_change_7,BDI_change_14,BDI_pct_change_1,BDI_pct_change_3,BDI_pct_change_7,BDI_pct_change_14,BDI_vs_mean_7,BDI_vs_mean_20,BDI_vs_mean_60,BDI_vs_mean_20_pct,BDI_vs_mean_60_pct,BDI_volatility_ratio,BDI_long_volatility_ratio,Panamax_change_1,Supramax_change_1,Handysize_change_1,Panamax_vs_BDI,Supramax_vs_BDI,Handysize_vs_BDI,Panamax_Supramax_spread,Supramax_Handysize_spread,Panamax_Handysize_spread,month,quarter,day_of_week,month_sin,month_cos,BDI_target_7
2012-07-06,1157.0,1138.0,1103.0,1063.0,988.0,938.0,1100.0,1090.0,1293.0,715.0,1067.428571428571,987.7,1041.15,66.66547617986157,76.84440876147538,96.5927717758176,19.0,94.0,169.0,219.0,0.0166959578207381,0.088428974600188,0.1710526315789473,0.2334754797441365,89.5714285714289,169.29999999999995,115.84999999999992,0.1714083223650905,0.1112711905104931,0.0778013655578367,0.092775077343147,39.0,9.0,-1.0,0.9420916162489196,1.1175453759723422,0.6179775280898876,-203.0,578.0,375.0,7,3,4,-0.4999999999999997,-0.8660254037844388,1093.0
2012-07-09,1162.0,1157.0,1138.0,1103.0,994.0,954.0,1058.0,1129.0,1296.0,713.0,1091.428571428571,1001.6,1044.5166666666669,66.06274074156794,82.06505763244503,97.23455681783685,5.0,59.0,168.0,208.0,0.0043215211754537,0.0534904805077063,0.1690140845070422,0.2180293501048218,70.5714285714289,160.39999999999998,117.48333333333312,0.1601437699680511,0.1124762649391263,0.0819339632911791,0.0930904789945941,39.0,3.0,-2.0,0.9716006884681584,1.1153184165232355,0.6135972461273667,-167.0,583.0,416.0,7,3,0,-0.4999999999999997,-0.8660254037844388,1074.0
2012-07-10,1160.0,1162.0,1157.0,1138.0,1004.0,972.0,1034.0,1145.0,1299.0,709.0,1113.7142857142858,1014.95,1047.65,57.39835736824941,85.1286796871018,97.88506317734804,-2.0,22.0,156.0,188.0,-0.0017211703958691,0.0193321616871704,0.1553784860557769,0.1934156378600822,46.28571428571422,145.04999999999995,112.34999999999992,0.1429134440120202,0.1072400133632414,0.0838747521425703,0.0934329816039211,16.0,3.0,-4.0,0.9870689655172412,1.1198275862068965,0.6112068965517241,-154.0,590.0,436.0,7,3,1,-0.4999999999999997,-0.8660254037844388,1053.0
2012-07-11,1146.0,1160.0,1162.0,1157.0,1013.0,978.0,1012.0,1160.0,1300.0,704.0,1132.7142857142858,1027.15,1050.5,36.83166339677341,85.57254540050698,98.22276652802964,-14.0,-11.0,133.0,168.0,-0.0120689655172413,-0.0095073465859982,0.1312931885488648,0.1717791411042943,13.28571428571422,118.84999999999992,95.5,0.1157085138489995,0.0909090909090909,0.0833106609555634,0.0935009676611419,15.0,1.0,-5.0,1.012216404886562,1.1343804537521816,0.6143106457242583,-140.0,596.0,456.0,7,3,2,-0.4999999999999997,-0.8660254037844388,1037.0
2012-07-12,1121.0,1146.0,1160.0,1162.0,1063.0,978.0,986.0,1175.0,1299.0,701.0,1141.0,1037.6,1052.7,22.120880030755995,83.50694897026142,98.30018018163462,-25.0,-41.0,58.0,143.0,-0.0218150087260035,-0.0352839931153183,0.0545625587958606,0.1462167689161553,-20.0,83.40000000000009,68.29999999999995,0.0803777949113339,0.0648807827491212,0.0804808683213776,0.0933791015309533,15.0,-1.0,-3.0,1.048171275646744,1.15878679750223,0.6253345227475469,-124.0,598.0,474.0,7,3,3,-0.4999999999999997,-0.8660254037844388,1022.0
2012-07-13,1110.0,1121.0,1146.0,1160.0,1103.0,978.0,950.0,1187.0,1294.0,696.0,1142.0,1046.9,1054.4333333333334,20.190756961254067,80.49249719861616,98.37964628048265,-11.0,-50.0,7.0,132.0,-0.0098126672613737,-0.0431034482758621,0.0063463281958295,0.1349693251533743,-32.0,63.09999999999991,55.566666666666606,0.0602731875059699,0.0526981316979103,0.0768865194370199,0.0933009638167255,12.0,-5.0,-5.0,1.069369369369369,1.1657657657657658,0.6270270270270271,-107.0,598.0,491.0,7,3,4,-0.4999999999999997,-0.8660254037844388,1003.0
2012-07-16,1102.0,1110.0,1121.0,1146.0,1138.0,981.0,923.0,1202.0,1287.0,692.0,1136.857142857143,1055.1,1055.6666666666667,25.31421584429001,77.09659013557216,98.5064166656506,-8.0,-44.0,-36.0,121.0,-0.0072072072072072,-0.0383944153577661,-0.031634446397188,0.1233435270132516,-34.85714285714289,46.90000000000009,46.33333333333326,0.0444507629608568,0.0438901168298073,0.0730704105161332,0.0933120460994479,15.0,-7.0,-4.0,1.090744101633394,1.1678765880217783,0.6279491833030852,-85.0,595.0,510.0,7,3,0,-0.4999999999999997,-0.8660254037844388,982.0
2012-07-17,1093.0,1102.0,1110.0,1121.0,1157.0,988.0,904.0,1209.0,1277.0,687.0,1127.7142857142858,1062.05,1056.1,28.217691174862352,73.6931582913466,98.6142458853608,-9.0,-28.0,-64.0,105.0,-0.0081669691470054,-0.0249776984834968,-0.0553154710458081,0.1062753036437247,-34.71428571428578,30.950000000000045,36.90000000000009,0.0291417541547008,0.034939873118076,0.0693876543395759,0.0933758601319579,7.0,-10.0,-5.0,1.1061299176578223,1.1683440073193048,0.6285452881976212,-68.0,590.0,522.0,7,3,1,-0.4999999999999997,-0.8660254037844388,958.0
2012-07-18,1074.0,1093.0,1102.0,1110.0,1162.0,994.0,878.0,1214.0,1261.0,680.0,1115.142857142857,1067.15,1055.8333333333333,29.9467781875008,70.59765539573202,98.54262893553783,-19.0,-36.0,-88.0,80.0,-0.0173833485818847,-0.0324324324324324,-0.0757314974182443,0.0804828973843059,-41.14285714285711,6.849999999999909,18.166666666666742,0.0064189664058472,0.0172059984214681,0.0661553253017214,0.0933316138300279,5.0,-16.0,-7.0,1.1303538175046557,1.174115456238361,0.633147113594041,-47.0,581.0,534.0,7,3,2,-0.4999999999999997,-0.8660254037844388,933.0
2012-07-19,1053.0,1074.0,1093.0,1102.0,1160.0,1004.0,872.0,1206.0,1239.0,672.0,1099.857142857143,1070.9,1054.7833333333333,30.53647311786497,67.53860494488211,98.22580206902556,-21.0,-49.0,-107.0,49.0,-0.0195530726256982,-0.0444646098003629,-0.0922413793103448,0.0488047808764939,-46.85714285714289,-17.90000000000009,-1.783333333333303,-0.0167149126902606,-0.0016907105724714,0.0630671444064638,0.0931241506808907,-8.0,-22.0,-8.0,1.1452991452991452,1.1766381766381766,0.6381766381766382,-33.0,567.0,534.0,7,3,3,-0.4999999999999997,-0.8660254037844388,915.0
2012-07-20,1037.0,1053.0,1074.0,1093.0,1146.0,1013.0,877.0,1183.0,1212.0,666.0,1084.2857142857142,1073.85,1053.1166666666666,30.874554170709043,64.48686116693864,97.65384935474034,-16.0,-56.0,-109.0,24.0,-0.0151946818613485,-0.0512351326623971,-0.0951134380453752,0.0236920039486672,-47.28571428571422,-36.84999999999991,-16.11666666666656,-0.0343157796712761,-0.0153037808409956,0.0600520195250161,0.0927284245380287,-23.0,-27.0,-6.0,1.140790742526519,1.1687560270009645,0.6422372227579557,-29.0,546.0,517.0,7,3,4,-0.4999999999999997,-0.8660254037844388,897.0
