fold,train_start,train_end,validation_start,validation_end,naive_mae,naive_rmse,linear_mae,linear_rmse
1,2010-03-26,2019-11-12,2019-11-13,2019-11-21,144.14285714285714,176.5773808520543,198.76797745245477,230.83784302853567
2,2010-03-26,2019-11-21,2019-11-22,2019-12-02,147.0,177.2943476659245,131.70938263094263,159.35882424959948
3,2010-03-26,2019-12-02,2019-12-03,2019-12-11,291.85714285714283,296.6448092536643,272.1035019709089,276.2471284756529
4,2010-03-26,2019-12-11,2019-12-12,2019-12-20,335.7142857142857,338.16226029188164,189.25506045061496,195.00643938003356
5,2010-03-26,2019-12-20,2019-12-23,2020-01-08,160.0,200.47800021805028,106.86154787145675,130.85774878304088
6,2010-03-26,2020-01-08,2020-01-09,2020-01-17,157.85714285714286,170.81192664950035,129.54825102692382,152.3208439401154
7,2010-03-26,2020-01-17,2020-01-20,2020-01-28,138.42857142857142,143.74034129041755,140.07253922778494,144.1589992311917
8,2010-03-26,2020-01-28,2020-01-29,2020-02-06,50.142857142857146,62.693130177305484,80.95881975169371,88.8734733164745
9,2010-03-26,2020-02-06,2020-02-07,2020-02-17,68.28571428571429,70.4718788899921,47.307621352521544,53.53757085319132
10,2010-03-26,2020-02-17,2020-02-18,2020-02-26,72.42857142857143,74.39566039571316,60.02862065397867,63.164712489240564
11,2010-03-26,2020-02-26,2020-02-27,2020-03-06,64.71428571428571,72.61935987442624,43.882350083619144,49.333345485838066
12,2010-03-26,2020-03-06,2020-03-09,2020-03-17,21.428571428571427,26.142466819880855,21.783300731008417,24.33560910559615
13,2010-03-26,2020-03-17,2020-03-18,2020-03-26,36.142857142857146,46.17513245398282,64.64682118262773,68.94241246415086
14,2010-03-26,2020-03-26,2020-03-27,2020-04-06,71.71428571428571,83.3409520326849,103.20779145780226,107.62723844631854
15,2010-03-26,2020-04-06,2020-04-07,2020-04-17,78.57142857142857,91.97359869627184,110.54275991816282,122.25252671702165
16,2010-03-26,2020-04-17,2020-04-20,2020-04-28,102.28571428571429,104.989795422494,110.08956779747943,117.14318931834106
17,2010-03-26,2020-04-28,2020-04-29,2020-05-07,161.57142857142858,170.1868720805792,165.71720273894545,174.38442376038356
18,2010-03-26,2020-05-07,2020-05-11,2020-05-19,69.28571428571429,77.43107534169617,45.60803696153654,55.346038677658555
19,2010-03-26,2020-05-19,2020-05-20,2020-05-29,130.14285714285714,145.5899329329764,99.71190966641893,117.91175517232614
20,2010-03-26,2020-05-29,2020-06-01,2020-06-09,420.7142857142857,458.7444044033982,269.0771555140262,329.53376879324026
21,2010-03-26,2020-06-09,2020-06-10,2020-06-18,627.1428571428571,649.4234805909447,407.7548194038718,433.6883592140864
22,2010-03-26,2020-06-18,2020-06-19,2020-06-29,193.85714285714286,202.93102276389385,117.91204244043918,137.81551102505838
23,2010-03-26,2020-06-29,2020-06-30,2020-07-08,121.42857142857143,157.50555545757743,119.41589564367321,128.34740315418406
24,2010-03-26,2020-07-08,2020-07-09,2020-07-17,321.7142857142857,337.7551945249272,159.05272961135873,188.8283280319732
25,2010-03-26,2020-07-17,2020-07-20,2020-07-31,176.42857142857142,203.67866849525504,146.07930748581552,156.69285682430325
26,2010-03-26,2020-07-31,2020-08-03,2020-11-09,111.28571428571429,115.32129031536198,35.936296187545295,40.781467891178124
27,2010-03-26,2020-11-09,2020-11-10,2021-02-18,124.0,163.9695093607345,166.9741950971849,245.0016955349711
28,2010-03-26,2021-02-18,2021-02-19,2021-03-01,137.0,170.4494059831245,167.34160168694504,224.90266684940283
29,2010-03-26,2021-03-01,2021-03-02,2021-03-10,250.42857142857142,255.42094108130044,191.9222502369435,204.1801621186681
30,2010-03-26,2021-03-10,2021-03-11,2021-03-19,190.0,216.09852250436936,207.00967370695648,238.1028259796313
31,2010-03-26,2021-03-19,2021-03-22,2021-03-30,118.28571428571429,142.6043477598071,130.7536263671529,160.40221260534847
32,2010-03-26,2021-03-30,2021-03-31,2021-04-12,283.57142857142856,322.34121229352155,345.9913094569124,363.14832746928096
33,2010-03-26,2021-04-12,2021-04-13,2021-04-21,516.0,522.7591633411536,389.8377503810933,419.0434434237327
34,2010-03-26,2021-04-21,2021-04-22,2021-04-30,314.14285714285717,336.426387618026,205.10597235552683,227.00502661557883
35,2010-03-26,2021-04-30,2021-05-04,2021-05-12,327.14285714285717,346.6430852785449,324.80331441106773,355.22106212419664
36,2010-03-26,2021-05-12,2021-05-13,2021-05-21,190.71428571428572,206.89921632110094,170.7647460114242,200.8538423448364
37,2010-03-26,2021-05-21,2021-05-24,2021-06-02,273.85714285714283,296.01568491261696,238.68597003541683,276.04292390406687
38,2010-03-26,2021-06-02,2021-06-03,2021-06-11,596.2857142857143,624.2160798038723,584.6827918481571,648.7981422765026
39,2010-03-26,2021-06-11,2021-06-14,2021-06-22,157.28571428571428,168.35718831443717,234.23397558576744,267.82045929283794
40,2010-03-26,2021-06-22,2021-06-23,2021-07-01,86.28571428571429,93.51241323252988,90.11837548589892,98.54502760850939
41,2010-03-26,2021-07-01,2021-07-02,2021-07-12,165.85714285714286,181.8048404196104,139.8616309972957,150.86013594704733
42,2010-03-26,2021-07-12,2021-07-13,2021-07-21,134.14285714285714,143.34025453942996,256.32558671385584,272.4376455625424
43,2010-03-26,2021-07-21,2021-07-22,2021-07-30,148.0,157.27864263329408,117.84055217952535,136.6276172640474
44,2010-03-26,2021-07-30,2021-08-02,2021-08-10,311.0,345.6904064952586,275.44428117383217,322.8949837014285
45,2010-03-26,2021-08-10,2021-08-11,2021-08-19,520.5714285714286,548.1186003047151,396.6101857919069,443.20303381222436
46,2010-03-26,2021-08-19,2021-08-20,2021-08-31,349.57142857142856,394.4618395448955,343.9847309975998,366.6007066499811
47,2010-03-26,2021-08-31,2021-09-01,2021-09-09,403.57142857142856,450.51224812904445,751.986685472586,792.2599636028368
