Date,BDI,BCI,Panamax,Supramax,Handysize,BDI_lag_1,BDI_lag_2,BDI_lag_3,BDI_lag_7,BDI_lag_14,BDI_lag_30,Panamax_lag_1,Supramax_lag_1,Handysize_lag_1,BDI_mean_7,BDI_mean_20,BDI_mean_60,BDI_std_7,BDI_std_20,BDI_std_60,BDI_target_7
2010-01-04,3140.0,,,,,,,,,,,,,,,,,,,,3175.0
2010-01-05,3270.0,,,,,3140.0,,,,,,,,,,,,,,,3235.0
2010-01-06,3259.0,,,,,3270.0,3140.0,,,,,,,,,,,,,,3299.0
2010-01-07,3149.0,,,,,3259.0,3270.0,3140.0,,,,,,,,,,,,,3295.0
2010-01-08,3140.0,,,,,3149.0,3259.0,3270.0,,,,,,,,,,,,,3208.0
2010-01-11,3148.0,,,,,3140.0,3149.0,3259.0,,,,,,,,,,,,,3158.0
2010-01-12,3160.0,,,,,3148.0,3140.0,3149.0,,,,,,,3180.8571428571427,,,57.62068081117101,,,3170.0
2010-01-13,3175.0,,,,,3160.0,3148.0,3140.0,3140.0,,,,,,3185.8571428571427,,,54.94066063013974,,,3204.0
2010-01-14,3235.0,,,,,3175.0,3160.0,3148.0,3270.0,,,,,,3180.8571428571427,,,47.02987905374111,,,3223.0
2010-01-15,3299.0,,,,,3235.0,3175.0,3160.0,3259.0,,,,,,3186.5714285714284,,,59.01089487785886,,,3205.0
2010-01-18,3295.0,,,,,3299.0,3235.0,3175.0,3149.0,,,,,,3207.428571428572,,,68.54890503102429,,,3118.0
2010-01-19,3208.0,,,,,3295.0,3299.0,3235.0,3140.0,,,,,,3217.1428571428573,,,61.89622651780053,,,2963.0
2010-01-20,3158.0,,,,,3208.0,3295.0,3299.0,3148.0,,,,,,3218.5714285714284,,,60.12447405967391,,,2848.0
2010-01-21,3170.0,,,,,3158.0,3208.0,3295.0,3160.0,,,,,,3220.0,,,58.60034129593464,,,2745.0
2010-01-22,3204.0,,,,,3170.0,3158.0,3208.0,3175.0,3140.0,,,,,3224.1428571428573,,,55.84928698867054,,,2691.0
2010-01-25,3223.0,,,,,3204.0,3170.0,3158.0,3235.0,3270.0,,,,,3222.428571428572,,,55.64427836072404,,,2673.0
2010-01-26,3205.0,,,,,3223.0,3204.0,3170.0,3299.0,3259.0,,,,,3209.0,,,44.26435736948349,,,2685.0
2010-01-27,3118.0,,,,,3205.0,3223.0,3204.0,3295.0,3149.0,,,,,3183.714285714286,,,36.89044269054992,,,2715.0
2010-01-28,2963.0,,,,,3118.0,3205.0,3223.0,3208.0,3140.0,,,,,3148.714285714286,,,89.17719119018818,,,2722.0
2010-01-29,2848.0,,,,,2963.0,3118.0,3205.0,3158.0,3148.0,,,,,3104.428571428572,3168.35,,143.95005747695606,105.93507197186496,,2706.0
2010-02-01,2745.0,,,,,2848.0,2963.0,3118.0,3170.0,3160.0,,,,,3043.714285714286,3148.6,,192.9660715304756,142.13462854483757,,2630.0
2010-02-02,2691.0,,,,,2745.0,2848.0,2963.0,3204.0,3175.0,,,,,2970.428571428572,3119.65,,217.76735073839427,171.94560798480188,,2575.0
2010-02-03,2673.0,,,,,2691.0,2745.0,2848.0,3223.0,3235.0,,,,,2891.8571428571427,3090.35,,210.55199561424865,195.293106300302,,2571.0
2010-02-04,2685.0,,,,,2673.0,2691.0,2745.0,3205.0,3299.0,,,,,2817.5714285714284,3067.15,,169.3594374329897,214.5684224081839,,2566.0
2010-02-05,2715.0,,,,,2685.0,2673.0,2691.0,3118.0,3295.0,,,,,2760.0,3045.9,,107.36076254075802,227.62200892569328,,2598.0
2010-02-08,2722.0,,,,,2715.0,2685.0,2673.0,2963.0,3208.0,,,,,2725.5714285714284,3024.6,,59.29546678247901,237.29138206011604,,2661.0
2010-02-09,2706.0,,,,,2722.0,2715.0,2685.0,2848.0,3158.0,,,,,2705.285714285714,3001.9,,24.526953104108,245.23928164785883,,2704.0
2010-02-10,2630.0,,,,,2706.0,2722.0,2715.0,2745.0,3170.0,,,,,2688.8571428571427,2974.65,,31.120350102077413,255.07465883334484,,2714.0
2010-02-11,2575.0,,,,,2630.0,2706.0,2722.0,2691.0,3204.0,,,,,2672.285714285714,2941.65,,52.98966655777747,262.21290566014613,,2721.0
2010-02-12,2571.0,,,,,2575.0,2630.0,2706.0,2673.0,3223.0,,,,,2657.714285714286,2905.25,,65.3445082765525,260.51969821473114,,2724.0
2010-02-15,2566.0,,,,,2571.0,2575.0,2630.0,2685.0,3205.0,3140.0,,,,2640.714285714286,2868.8,,72.18428796193193,254.0361764540008,,2707.0
2010-02-16,2598.0,,,,,2566.0,2571.0,2575.0,2715.0,3118.0,3270.0,,,,2624.0,2838.3,,65.33758489567613,247.7078287439709,,2711.0
2010-02-17,2661.0,,,,,2598.0,2566.0,2571.0,2722.0,2963.0,3259.0,,,,2615.285714285714,2813.45,,52.98966655777753,238.7137627501096,,2738.0
2010-02-18,2704.0,,,,,2661.0,2598.0,2566.0,2706.0,2848.0,3149.0,,,,2615.0,2790.15,,52.42136968832161,224.39328139862363,,2760.0
2010-02-19,2714.0,,,,,2704.0,2661.0,2598.0,2630.0,2745.0,3140.0,,,,2627.0,2765.65,,64.6219776856116,202.5127091528352,,2792.0
2010-02-22,2721.0,,,,,2714.0,2704.0,2661.0,2575.0,2691.0,3148.0,,,,2647.8571428571427,2740.55,,68.48705126135802,171.5932997710445,,2911.0
2010-02-23,2724.0,,,,,2721.0,2714.0,2704.0,2571.0,2673.0,3160.0,,,,2669.714285714286,2716.5,,64.14752342767768,132.27423666084894,,3121.0
2010-02-24,2707.0,,,,,2724.0,2721.0,2714.0,2566.0,2685.0,3175.0,,,,2689.8571428571427,2695.95,,45.6122372886475,92.58707139484126,,3242.0
2010-02-25,2711.0,,,,,2707.0,2724.0,2721.0,2598.0,2715.0,3235.0,,,,2706.0,2683.35,,21.08712087190586,68.291384214222,,3259.0
