Date,BDI,BCI,Panamax,Supramax,Handysize,BDI_lag_1,BDI_lag_2,BDI_lag_3,BDI_lag_7,BDI_lag_14,BDI_lag_30,Panamax_lag_1,Supramax_lag_1,Handysize_lag_1
2010-01-04,3140.0,,,,,,,,,,,,,
2010-01-05,3270.0,,,,,3140.0,,,,,,,,
2010-01-06,3259.0,,,,,3270.0,3140.0,,,,,,,
2010-01-07,3149.0,,,,,3259.0,3270.0,3140.0,,,,,,
2010-01-08,3140.0,,,,,3149.0,3259.0,3270.0,,,,,,
2010-01-11,3148.0,,,,,3140.0,3149.0,3259.0,,,,,,
2010-01-12,3160.0,,,,,3148.0,3140.0,3149.0,,,,,,
2010-01-13,3175.0,,,,,3160.0,3148.0,3140.0,3140.0,,,,,
2010-01-14,3235.0,,,,,3175.0,3160.0,3148.0,3270.0,,,,,
2010-01-15,3299.0,,,,,3235.0,3175.0,3160.0,3259.0,,,,,
2010-01-18,3295.0,,,,,3299.0,3235.0,3175.0,3149.0,,,,,
2010-01-19,3208.0,,,,,3295.0,3299.0,3235.0,3140.0,,,,,
2010-01-20,3158.0,,,,,3208.0,3295.0,3299.0,3148.0,,,,,
2010-01-21,3170.0,,,,,3158.0,3208.0,3295.0,3160.0,,,,,
2010-01-22,3204.0,,,,,3170.0,3158.0,3208.0,3175.0,3140.0,,,,
2010-01-25,3223.0,,,,,3204.0,3170.0,3158.0,3235.0,3270.0,,,,
2010-01-26,3205.0,,,,,3223.0,3204.0,3170.0,3299.0,3259.0,,,,
2010-01-27,3118.0,,,,,3205.0,3223.0,3204.0,3295.0,3149.0,,,,
2010-01-28,2963.0,,,,,3118.0,3205.0,3223.0,3208.0,3140.0,,,,
2010-01-29,2848.0,,,,,2963.0,3118.0,3205.0,3158.0,3148.0,,,,
2010-02-01,2745.0,,,,,2848.0,2963.0,3118.0,3170.0,3160.0,,,,
2010-02-02,2691.0,,,,,2745.0,2848.0,2963.0,3204.0,3175.0,,,,
2010-02-03,2673.0,,,,,2691.0,2745.0,2848.0,3223.0,3235.0,,,,
2010-02-04,2685.0,,,,,2673.0,2691.0,2745.0,3205.0,3299.0,,,,
2010-02-05,2715.0,,,,,2685.0,2673.0,2691.0,3118.0,3295.0,,,,
2010-02-08,2722.0,,,,,2715.0,2685.0,2673.0,2963.0,3208.0,,,,
2010-02-09,2706.0,,,,,2722.0,2715.0,2685.0,2848.0,3158.0,,,,
2010-02-10,2630.0,,,,,2706.0,2722.0,2715.0,2745.0,3170.0,,,,
2010-02-11,2575.0,,,,,2630.0,2706.0,2722.0,2691.0,3204.0,,,,
2010-02-12,2571.0,,,,,2575.0,2630.0,2706.0,2673.0,3223.0,,,,
2010-02-15,2566.0,,,,,2571.0,2575.0,2630.0,2685.0,3205.0,3140.0,,,
2010-02-16,2598.0,,,,,2566.0,2571.0,2575.0,2715.0,3118.0,3270.0,,,
2010-02-17,2661.0,,,,,2598.0,2566.0,2571.0,2722.0,2963.0,3259.0,,,
2010-02-18,2704.0,,,,,2661.0,2598.0,2566.0,2706.0,2848.0,3149.0,,,
2010-02-19,2714.0,,,,,2704.0,2661.0,2598.0,2630.0,2745.0,3140.0,,,
2010-02-22,2721.0,,,,,2714.0,2704.0,2661.0,2575.0,2691.0,3148.0,,,
2010-02-23,2724.0,,,,,2721.0,2714.0,2704.0,2571.0,2673.0,3160.0,,,
2010-02-24,2707.0,,,,,2724.0,2721.0,2714.0,2566.0,2685.0,3175.0,,,
2010-02-25,2711.0,,,,,2707.0,2724.0,2721.0,2598.0,2715.0,3235.0,,,
2010-02-26,2738.0,,,,,2711.0,2707.0,2724.0,2661.0,2722.0,3299.0,,,
2010-03-01,2760.0,,,,,2738.0,2711.0,2707.0,2704.0,2706.0,3295.0,,,
2010-03-02,2792.0,,,,,2760.0,2738.0,2711.0,2714.0,2630.0,3208.0,,,
2010-03-03,2911.0,,,,,2792.0,2760.0,2738.0,2721.0,2575.0,3158.0,,,
2010-03-04,3121.0,,,,,2911.0,2792.0,2760.0,2724.0,2571.0,3170.0,,,
2010-03-05,3242.0,,,,,3121.0,2911.0,2792.0,2707.0,2566.0,3204.0,,,
2010-03-08,3259.0,,,,,3242.0,3121.0,2911.0,2711.0,2598.0,3223.0,,,
2010-03-09,3210.0,,,,,3259.0,3242.0,3121.0,2738.0,2661.0,3205.0,,,
2010-03-10,3230.0,,,,,3210.0,3259.0,3242.0,2760.0,2704.0,3118.0,,,
2010-03-11,3316.0,,,,,3230.0,3210.0,3259.0,2792.0,2714.0,2963.0,,,
2010-03-12,3506.0,,,,,3316.0,3230.0,3210.0,2911.0,2721.0,2848.0,,,
2010-03-15,3574.0,,,,,3506.0,3316.0,3230.0,3121.0,2724.0,2745.0,,,
2010-03-16,3498.0,,,,,3574.0,3506.0,3316.0,3242.0,2707.0,2691.0,,,
2010-03-17,3427.0,,,,,3498.0,3574.0,3506.0,3259.0,2711.0,2673.0,,,
2010-03-18,3396.0,,,,,3427.0,3498.0,3574.0,3210.0,2738.0,2685.0,,,
2010-03-19,3379.0,,,,,3396.0,3427.0,3498.0,3230.0,2760.0,2715.0,,,
2010-03-22,3337.0,,,,,3379.0,3396.0,3427.0,3316.0,2792.0,2722.0,,,
2010-03-23,3280.0,,,,,3337.0,3379.0,3396.0,3506.0,2911.0,2706.0,,,
2010-03-24,3243.0,,,,,3280.0,3337.0,3379.0,3574.0,3121.0,2630.0,,,
2010-03-25,3177.0,,,,,3243.0,3280.0,3337.0,3498.0,3242.0,2575.0,,,
2010-03-26,3098.0,,,,,3177.0,3243.0,3280.0,3427.0,3259.0,2571.0,,,
2010-03-29,3021.0,,,,,3098.0,3177.0,3243.0,3396.0,3210.0,2566.0,,,
2010-03-30,2982.0,,,,,3021.0,3098.0,3177.0,3379.0,3230.0,2598.0,,,
2010-03-31,2998.0,,,,,2982.0,3021.0,3098.0,3337.0,3316.0,2661.0,,,
2010-04-01,2991.0,,,,,2998.0,2982.0,3021.0,3280.0,3506.0,2704.0,,,
2010-04-02,2991.0,,,,,2991.0,2998.0,2982.0,3243.0,3574.0,2714.0,,,
2010-04-06,2981.0,,,,,2991.0,2991.0,2998.0,3177.0,3498.0,2721.0,,,
2010-04-07,2947.0,,,,,2981.0,2991.0,2991.0,3098.0,3427.0,2724.0,,,
2010-04-08,2922.0,,,,,2947.0,2981.0,2991.0,3021.0,3396.0,2707.0,,,
2010-04-09,2913.0,,,,,2922.0,2947.0,2981.0,2982.0,3379.0,2711.0,,,
2010-04-12,2911.0,,,,,2913.0,2922.0,2947.0,2998.0,3337.0,2738.0,,,
2010-04-13,2928.0,,,,,2911.0,2913.0,2922.0,2991.0,3280.0,2760.0,,,
2010-04-14,2966.0,,,,,2928.0,2911.0,2913.0,2991.0,3243.0,2792.0,,,
2010-04-15,3001.0,,,,,2966.0,2928.0,2911.0,2981.0,3177.0,2911.0,,,
2010-04-16,3009.0,,,,,3001.0,2966.0,2928.0,2947.0,3098.0,3121.0,,,
2010-04-19,3002.0,,,,,3009.0,3001.0,2966.0,2922.0,3021.0,3242.0,,,
2010-04-20,2998.0,,,,,3002.0,3009.0,3001.0,2913.0,2982.0,3259.0,,,
2010-04-21,3009.0,,,,,2998.0,3002.0,3009.0,2911.0,2998.0,3210.0,,,
2010-04-22,3006.0,,,,,3009.0,2998.0,3002.0,2928.0,2991.0,3230.0,,,
2010-04-23,3013.0,,,,,3006.0,3009.0,2998.0,2966.0,2991.0,3316.0,,,
2010-04-26,3020.0,,,,,3013.0,3006.0,3009.0,3001.0,2981.0,3506.0,,,
2010-04-27,3203.0,,,,,3020.0,3013.0,3006.0,3009.0,2947.0,3574.0,,,
2010-04-28,3329.0,,,,,3203.0,3020.0,3013.0,3002.0,2922.0,3498.0,,,
2010-04-29,3359.0,,,,,3329.0,3203.0,3020.0,2998.0,2913.0,3427.0,,,
2010-04-30,3354.0,,,,,3359.0,3329.0,3203.0,3009.0,2911.0,3396.0,,,
2010-05-04,3352.0,,,,,3354.0,3359.0,3329.0,3006.0,2928.0,3379.0,,,
2010-05-05,3379.0,,,,,3352.0,3354.0,3359.0,3013.0,2966.0,3337.0,,,
2010-05-06,3468.0,,,,,3379.0,3352.0,3354.0,3020.0,3001.0,3280.0,,,
2010-05-07,3608.0,,,,,3468.0,3379.0,3352.0,3203.0,3009.0,3243.0,,,
2010-05-10,3707.0,,,,,3608.0,3468.0,3379.0,3329.0,3002.0,3177.0,,,
2010-05-11,3822.0,,,,,3707.0,3608.0,3468.0,3359.0,2998.0,3098.0,,,
2010-05-12,3888.0,,,,,3822.0,3707.0,3608.0,3354.0,3009.0,3021.0,,,
2010-05-13,3914.0,,,,,3888.0,3822.0,3707.0,3352.0,3006.0,2982.0,,,
2010-05-14,3929.0,,,,,3914.0,3888.0,3822.0,3379.0,3013.0,2998.0,,,
2010-05-17,3922.0,,,,,3929.0,3914.0,3888.0,3468.0,3020.0,2991.0,,,
2010-05-18,3882.0,,,,,3922.0,3929.0,3914.0,3608.0,3203.0,2991.0,,,
2010-05-19,3832.0,,,,,3882.0,3922.0,3929.0,3707.0,3329.0,2981.0,,,
2010-05-20,3803.0,,,,,3832.0,3882.0,3922.0,3822.0,3359.0,2947.0,,,
2010-05-21,3844.0,,,,,3803.0,3832.0,3882.0,3888.0,3354.0,2922.0,,,
2010-05-24,3943.0,,,,,3844.0,3803.0,3832.0,3914.0,3352.0,2913.0,,,
2010-05-25,4187.0,,,,,3943.0,3844.0,3803.0,3929.0,3379.0,2911.0,,,
2010-05-26,4209.0,,,,,4187.0,3943.0,3844.0,3922.0,3468.0,2928.0,,,
2010-05-27,4156.0,,,,,4209.0,4187.0,3943.0,3882.0,3608.0,2966.0,,,
2010-05-28,4078.0,,,,,4156.0,4209.0,4187.0,3832.0,3707.0,3001.0,,,
2010-06-01,4074.0,,,,,4078.0,4156.0,4209.0,3803.0,3822.0,3009.0,,,
2010-06-02,4041.0,,,,,4074.0,4078.0,4156.0,3844.0,3888.0,3002.0,,,
2010-06-03,3933.0,,,,,4041.0,4074.0,4078.0,3943.0,3914.0,2998.0,,,
2010-06-04,3844.0,,,,,3933.0,4041.0,4074.0,4187.0,3929.0,3009.0,,,
2010-06-07,3733.0,,,,,3844.0,3933.0,4041.0,4209.0,3922.0,3006.0,,,
2010-06-08,3579.0,,,,,3733.0,3844.0,3933.0,4156.0,3882.0,3013.0,,,
2010-06-09,3514.0,,,,,3579.0,3733.0,3844.0,4078.0,3832.0,3020.0,,,
2010-06-10,3423.0,,,,,3514.0,3579.0,3733.0,4074.0,3803.0,3203.0,,,
2010-06-11,3288.0,,,,,3423.0,3514.0,3579.0,4041.0,3844.0,3329.0,,,
2010-06-14,3115.0,,,,,3288.0,3423.0,3514.0,3933.0,3943.0,3359.0,,,
2010-06-15,3020.0,,,,,3115.0,3288.0,3423.0,3844.0,4187.0,3354.0,,,
2010-06-16,2893.0,,,,,3020.0,3115.0,3288.0,3733.0,4209.0,3352.0,,,
2010-06-17,2784.0,,,,,2893.0,3020.0,3115.0,3579.0,4156.0,3379.0,,,
2010-06-18,2694.0,,,,,2784.0,2893.0,3020.0,3514.0,4078.0,3468.0,,,
2010-06-21,2601.0,,,,,2694.0,2784.0,2893.0,3423.0,4074.0,3608.0,,,
2010-06-22,2547.0,,,,,2601.0,2694.0,2784.0,3288.0,4041.0,3707.0,,,
2010-06-23,2515.0,,,,,2547.0,2601.0,2694.0,3115.0,3933.0,3822.0,,,
2010-06-24,2502.0,,,,,2515.0,2547.0,2601.0,3020.0,3844.0,3888.0,,,
2010-06-25,2501.0,,,,,2502.0,2515.0,2547.0,2893.0,3733.0,3914.0,,,
2010-06-28,2482.0,,,,,2501.0,2502.0,2515.0,2784.0,3579.0,3929.0,,,
2010-06-29,2447.0,,,,,2482.0,2501.0,2502.0,2694.0,3514.0,3922.0,,,
2010-06-30,2406.0,,,,,2447.0,2482.0,2501.0,2601.0,3423.0,3882.0,,,
2010-07-01,2351.0,,,,,2406.0,2447.0,2482.0,2547.0,3288.0,3832.0,,,
2010-07-02,2280.0,,,,,2351.0,2406.0,2447.0,2515.0,3115.0,3803.0,,,
2010-07-05,2216.0,,,,,2280.0,2351.0,2406.0,2502.0,3020.0,3844.0,,,
2010-07-06,2127.0,,,,,2216.0,2280.0,2351.0,2501.0,2893.0,3943.0,,,
2010-07-07,2018.0,,,,,2127.0,2216.0,2280.0,2482.0,2784.0,4187.0,,,
2010-07-08,1940.0,,,,,2018.0,2127.0,2216.0,2447.0,2694.0,4209.0,,,
2010-07-09,1902.0,,,,,1940.0,2018.0,2127.0,2406.0,2601.0,4156.0,,,
2010-07-12,1840.0,,,,,1902.0,1940.0,2018.0,2351.0,2547.0,4078.0,,,
2010-07-13,1790.0,,,,,1840.0,1902.0,1940.0,2280.0,2515.0,4074.0,,,
2010-07-14,1709.0,,,,,1790.0,1840.0,1902.0,2216.0,2502.0,4041.0,,,
2010-07-15,1700.0,,,,,1709.0,1790.0,1840.0,2127.0,2501.0,3933.0,,,
2010-07-16,1720.0,,,,,1700.0,1709.0,1790.0,2018.0,2482.0,3844.0,,,
2010-07-19,1732.0,,,,,1720.0,1700.0,1709.0,1940.0,2447.0,3733.0,,,
2010-07-20,1761.0,,,,,1732.0,1720.0,1700.0,1902.0,2406.0,3579.0,,,
2010-07-21,1781.0,,,,,1761.0,1732.0,1720.0,1840.0,2351.0,3514.0,,,
2010-07-22,1801.0,,,,,1781.0,1761.0,1732.0,1790.0,2280.0,3423.0,,,
2010-07-23,1826.0,,,,,1801.0,1781.0,1761.0,1709.0,2216.0,3288.0,,,
2010-07-26,1841.0,,,,,1826.0,1801.0,1781.0,1700.0,2127.0,3115.0,,,
2010-07-27,1869.0,,,,,1841.0,1826.0,1801.0,1720.0,2018.0,3020.0,,,
2010-07-28,1901.0,,,,,1869.0,1841.0,1826.0,1732.0,1940.0,2893.0,,,
2010-07-29,1942.0,,,,,1901.0,1869.0,1841.0,1761.0,1902.0,2784.0,,,
2010-07-30,1967.0,,,,,1942.0,1901.0,1869.0,1781.0,1840.0,2694.0,,,
2010-08-02,1977.0,,,,,1967.0,1942.0,1901.0,1801.0,1790.0,2601.0,,,
2010-08-03,1964.0,,,,,1977.0,1967.0,1942.0,1826.0,1709.0,2547.0,,,
2010-08-04,1957.0,,,,,1964.0,1977.0,1967.0,1841.0,1700.0,2515.0,,,
2010-08-05,1978.0,,,,,1957.0,1964.0,1977.0,1869.0,1720.0,2502.0,,,
2010-08-06,2030.0,,,,,1978.0,1957.0,1964.0,1901.0,1732.0,2501.0,,,
2010-08-09,2114.0,,,,,2030.0,1978.0,1957.0,1942.0,1761.0,2482.0,,,
