Feature,Coefficient,Absolute_Importance
BDI_lag_2,288.28207643156424,288.28207643156424
BDI_vs_mean_20_pct,136.69449748509766,136.69449748509766
BDI_vs_mean_20,-92.0984486996685,92.0984486996685
BDI_change_7,84.30088720291953,84.30088720291953
BDI_lag_30,74.43127139250862,74.43127139250862
BDI_vs_mean_60,71.99975280502277,71.99975280502277
Handysize_lag_1,59.740627703736315,59.740627703736315
BDI_pct_change_7,-52.90907269993565,52.90907269993565
BDI_mean_20,48.50378396622662,48.50378396622662
BDI_change_1,41.62109403122217,41.62109403122217
BDI_vs_mean_60_pct,-39.90906630995507,39.90906630995507
BDI_change_3,39.28029934324034,39.28029934324034
BDI_volatility_ratio,39.10627557449656,39.10627557449656
BDI_std_20,-38.56332857063594,38.56332857063594
Supramax_vs_BDI,-29.999803577472424,29.999803577472424
BDI_std_60,29.822898945298558,29.822898945298558
Supramax_lag_1,29.51139920513729,29.51139920513729
month_cos,-28.46750898644061,28.46750898644061
month_sin,-27.02257591319132,27.02257591319132
Supramax_change_1,26.52253864076887,26.52253864076887
Panamax_vs_BDI,25.32432206317231,25.32432206317231
BDI_vs_mean_7,-25.18654017394708,25.18654017394708
BDI_pct_change_1,25.003982846325943,25.003982846325943
BDI_mean_60,-22.858657484451143,22.858657484451143
BDI_mean_7,21.53072142407741,21.53072142407741
quarter,-20.219170252444663,20.219170252444663
month,19.702521740204773,19.702521740204773
Panamax_Supramax_spread,-19.359595780470393,19.359595780470393
BDI_lag_14,18.189311652508305,18.189311652508305
BDI,17.789269087064493,17.789269087064493
BDI_std_7,17.411388286758534,17.411388286758534
Panamax_Handysize_spread,-17.127142729827696,17.127142729827696
BDI_pct_change_3,-16.52473494988151,16.52473494988151
BDI_long_volatility_ratio,-16.41763033240828,16.41763033240828
BDI_lag_1,15.317999689430792,15.317999689430792
BDI_pct_change_14,-14.584582368209402,14.584582368209402
Handysize_change_1,-13.518135047840858,13.518135047840858
BDI_lag_3,11.924757518318243,11.924757518318243
Panamax_lag_1,11.763816408983553,11.763816408983553
Handysize_vs_BDI,9.533956161397363,9.533956161397363
Supramax_Handysize_spread,-7.851801786654055,7.851801786654055
BDI_lag_7,-6.614713391826049,6.614713391826049
Panamax_change_1,1.7944490962408672,1.7944490962408672
BDI_change_14,0.9960139541067622,0.9960139541067622
day_of_week,0.8970038824787764,0.8970038824787764
