Fold,Train_Start,Train_End,Validation_Start,Validation_End,Naive_MAE,Naive_RMSE,Linear_MAE,Linear_RMSE,XGBoost_MAE,XGBoost_RMSE,LightGBM_MAE,LightGBM_RMSE
1,2012-07-05,2019-11-25,2019-11-26,2019-12-04,131.57142857142858,152.0831539464043,156.26430660813435,178.78011134699358,131.43115234375,148.38159297531456,151.91649760427006,184.6023392046229
2,2012-07-05,2019-12-04,2019-12-05,2019-12-13,304.42857142857144,307.1474750483413,204.20392302210124,210.65161489682168,297.15890066964283,301.28761086780935,293.1278550546669,297.6311266825275
3,2012-07-05,2019-12-13,2019-12-16,2019-12-24,349.57142857142856,350.19239609922187,232.0476908824796,233.6364930863434,314.62025669642856,315.8015008234495,314.1648383512954,315.3003494768125
4,2012-07-05,2019-12-24,2020-01-02,2020-01-10,85.85714285714286,107.56858277396798,43.90525584068397,54.78588802438872,119.46782575334821,129.59379058248817,79.64501460762901,96.17704711698843
5,2012-07-05,2020-01-10,2020-01-13,2020-01-21,196.0,197.57819428556093,163.13315439292168,169.20356198476577,131.26435198102678,138.9655782283272,109.6233161091966,117.64005569793106
6,2012-07-05,2020-01-21,2020-01-22,2020-01-30,110.14285714285714,110.97039502240483,106.03815997473274,109.34729516725645,157.99073137555803,159.80673858737342,162.2988567966268,167.71541448085398
7,2012-07-05,2020-01-30,2020-01-31,2020-02-10,34.714285714285715,41.378048010301995,41.000876847420386,46.323461063108965,55.341945103236604,59.36060694746706,78.90516668268653,79.6304078350951
8,2012-07-05,2020-02-10,2020-02-11,2020-02-19,76.85714285714286,77.24173557271817,58.204740108329574,60.75857399499103,56.69205583844866,58.98224939031792,47.5586877310439,49.872615162523566
9,2012-07-05,2020-02-19,2020-02-20,2020-02-28,76.71428571428571,78.95296972610612,25.522797201423796,30.464994606779246,47.695460728236604,53.378194625340804,56.32858249877039,59.104406814953435
10,2012-07-05,2020-02-28,2020-03-02,2020-03-10,41.42857142857143,54.85044601980396,47.70826899577269,51.93770544712129,68.6728515625,71.59756359268636,68.25617061787018,71.68257863219145
11,2012-07-05,2020-03-10,2020-03-11,2020-03-19,41.285714285714285,48.78377950566297,68.94797278214814,73.43331366467363,129.7018781389509,133.19898593606823,132.47046464606132,137.28328773044728
12,2012-07-05,2020-03-19,2020-03-20,2020-03-30,28.142857142857142,33.70671827904427,30.846572173312634,35.202302205520645,61.5360107421875,66.65438109237837,60.71915739224897,65.67486605627725
13,2012-07-05,2020-03-30,2020-03-31,2020-04-08,97.85714285714286,109.61034883362323,93.609381372083,101.15166204855952,97.85145786830357,103.03790756593654,98.0425849469287,102.23143062565946
14,2012-07-05,2020-04-08,2020-04-09,2020-04-21,67.85714285714286,75.87301421265855,113.99318077587311,127.36515217192766,36.8212890625,43.40995063819596,36.85482587702446,45.77150221031714
15,2012-07-05,2020-04-21,2020-04-22,2020-04-30,125.71428571428571,133.566462856512,111.09195488865556,118.6824993779009,59.94488525390625,76.28119314256503,68.23662056449939,83.12619282296748
16,2012-07-05,2020-04-30,2020-05-01,2020-05-12,117.71428571428571,139.9540740998377,112.14573119839373,125.47484098856586,94.52767072405133,107.46098352400276,78.38757828621608,88.19969689737275
17,2012-07-05,2020-05-12,2020-05-13,2020-05-21,73.71428571428571,78.18659000840782,51.52661751238037,67.76647004726078,58.738490513392854,59.37123551582424,77.36709802813962,77.98247684489533
18,2012-07-05,2020-05-21,2020-05-22,2020-06-02,193.28571428571428,203.26161889123514,123.491491649212,138.69313178838033,158.63184901646204,168.89694504408618,160.73647471525334,169.62937986772516
19,2012-07-05,2020-06-02,2020-06-03,2020-06-11,559.7142857142857,594.0637291450423,422.1205543681078,464.9865400275568,571.3214198521206,617.7268328628029,581.0452784279324,626.9856458959548
20,2012-07-05,2020-06-11,2020-06-12,2020-06-22,481.2857142857143,524.9727884104361,294.37983745458706,355.71028071590894,423.41961669921875,509.9334989915584,443.76081745674077,506.4256728805887
21,2012-07-05,2020-06-22,2020-06-23,2020-07-01,126.57142857142857,155.32270554282417,138.17125740881687,154.78531151097465,107.23442731584821,122.45949600566412,105.46478518287336,112.7097715524417
